"type","term","value"
"covariate","age_z",-0.185887854796933
"covariate","sex_female",0
"covariate","height_z",0.0637737270629756
"covariate","weight_z",-0.0886483387693368
"covariate","experience_z",-0.115650022504148
"covariate","prior_injury",1
"covariate","fondo_lungo_total_z",-0.407234827886086
"covariate","fondo_medio_total_z",-0.313766097158584
"covariate","lattacido_total_z",0.0790974395591694
"covariate","max_velocity_total_z",-0.0839628727659201
"covariate","tecnica_total_z",-0.213413083480435
"covariate","palestra_z",0.150884343722117
"discipline_indicator","disciplina___1",1
"discipline_indicator","disciplina___2",0
"discipline_indicator","disciplina___3",0
"discipline_indicator","disciplina___4",0
"discipline_indicator","disciplina___5",0
"discipline_indicator","disciplina___6",0
"discipline_indicator","disciplina___7",0
"random_effect","athlete",0
