"model","period","estimand","measure","share_from","share_to","mean","median","sd","lower_95","upper_95","probability_above_null","probability_above_threshold","probability_in_rope"
"primary_association","preparation","prevalence_nonuser","prevalence",NA,0,0.301473388258904,0.299441429655231,0.0493521153971126,0.209722946649698,0.402431815914679,NA,NA,NA
"primary_association","preparation","prevalence_median_user","prevalence",NA,0.421052631578947,0.355059856336188,0.35510347371707,0.0312663327763885,0.29562256847458,0.416740042300084,NA,NA,NA
"primary_association","preparation","prevalence_low_user","prevalence",NA,0.285714285714286,0.346018903388535,0.345464726697535,0.0363431478061738,0.278365404067686,0.419780372758652,NA,NA,NA
"primary_association","preparation","prevalence_high_user","prevalence",NA,0.571428571428571,0.338096444796891,0.337385846789287,0.0384852379325401,0.265164337239733,0.413955163620661,NA,NA,NA
"primary_association","preparation","adoption_difference","prevalence_difference",0,0.421052631578947,0.0535864680772842,0.0542404887211145,0.0576294840220856,-0.0629519423273722,0.161952953534161,0.81975,0.52975,0.1695
"primary_association","preparation","adoption_ratio","prevalence_ratio",0,0.421052631578947,1.2101439557649,1.18375800095752,0.230401598415696,0.837886678546513,1.74111858381401,0.81975,0.6615,0.14375
"primary_association","preparation","dose_difference","prevalence_difference",0.285714285714286,0.571428571428571,-0.00792245859164473,-0.00903849055254258,0.0510267658033867,-0.106310784286658,0.0913850250241278,0.4375,0.13375,0.28925
"primary_association","preparation","dose_ratio","prevalence_ratio",0.285714285714286,0.571428571428571,0.987262519526887,0.973754052946874,0.149465819134055,0.728506274011979,1.30341948866726,0.4375,0.21675,0.25
"primary_association","competition","prevalence_nonuser","prevalence",NA,0,0.381491724948295,0.380149872312618,0.0602626820259948,0.266383773129525,0.503838141622092,NA,NA,NA
"primary_association","competition","prevalence_median_user","prevalence",NA,0.5,0.429624371357896,0.429633047327048,0.0324055169937416,0.365200902599026,0.493562589689393,NA,NA,NA
"primary_association","competition","prevalence_low_user","prevalence",NA,0.360227272727273,0.36046309082521,0.359304299224713,0.0387583262963372,0.285347646987847,0.43994198987751,NA,NA,NA
"primary_association","competition","prevalence_high_user","prevalence",NA,0.714285714285714,0.503478807743998,0.50448651106595,0.0407475780141023,0.423642733125497,0.582332382656658,NA,NA,NA
"primary_association","competition","adoption_difference","prevalence_difference",0,0.5,0.0481326464096013,0.0477015817640168,0.0668982227831555,-0.0870570225392924,0.177402511213132,0.77075,0.4865,0.185
"primary_association","competition","adoption_ratio","prevalence_ratio",0,0.5,1.15522036701535,1.12596757576418,0.208798573756077,0.820454165693221,1.65415620623318,0.77075,0.5625,0.19375
"primary_association","competition","dose_difference","prevalence_difference",0.360227272727273,0.714285714285714,0.143015716918787,0.143269634389792,0.0590445012932914,0.026596498308043,0.25803507125313,0.99,0.94025,0.017
"primary_association","competition","dose_ratio","prevalence_ratio",0.360227272727273,0.714285714285714,1.41449367659338,1.39850285379986,0.2024301103097,1.06146118021285,1.85886094895857,0.99,0.9545,0.0175
"sensitivity_linear","preparation","prevalence_nonuser","prevalence",NA,0,0.299926672636205,0.29670875537679,0.0483579793748793,0.20942836423414,0.400089018791764,NA,NA,NA
"sensitivity_linear","preparation","prevalence_median_user","prevalence",NA,0.421052631578947,0.334778528951879,0.334278670061708,0.026486037061124,0.281716039768101,0.38694151350018,NA,NA,NA
"sensitivity_linear","preparation","prevalence_low_user","prevalence",NA,0.285714285714286,0.327505879686865,0.327222178887735,0.0305747349939262,0.267081798975128,0.387287762299855,NA,NA,NA
"sensitivity_linear","preparation","prevalence_high_user","prevalence",NA,0.571428571428571,0.343194997135087,0.343284083430851,0.0288198370544821,0.285711330341455,0.400037791234834,NA,NA,NA
"sensitivity_linear","preparation","adoption_difference","prevalence_difference",0,0.421052631578947,0.0348518563156739,0.0362630659108996,0.0534603997835406,-0.0733377680274459,0.134727412823091,0.74675,0.396,0.22075
"sensitivity_linear","preparation","adoption_ratio","prevalence_ratio",0,0.421052631578947,1.14527213973483,1.12308444218963,0.206629703032267,0.806660883568972,1.61480531070552,0.74675,0.54925,0.17875
"sensitivity_linear","preparation","dose_difference","prevalence_difference",0.285714285714286,0.571428571428571,0.0156891174482224,0.0156997547789622,0.0273330225685617,-0.0367030820417291,0.0689969409432602,0.71275,0.11,0.469
"sensitivity_linear","preparation","dose_ratio","prevalence_ratio",0.285714285714286,0.571428571428571,1.05238576337468,1.04825604376127,0.0873640516446113,0.897711025964696,1.2346422333085,0.71275,0.2785,0.395
"sensitivity_linear","competition","prevalence_nonuser","prevalence",NA,0,0.378895752258921,0.377430279213377,0.0603087938517809,0.265686239180731,0.501045148778215,NA,NA,NA
"sensitivity_linear","competition","prevalence_median_user","prevalence",NA,0.5,0.42302225733055,0.423538536001566,0.0273252340277102,0.370595794364142,0.475222175800137,NA,NA,NA
"sensitivity_linear","competition","prevalence_low_user","prevalence",NA,0.360227272727273,0.399542742078517,0.40001255915113,0.0320132073804898,0.337747035098992,0.461243583361069,NA,NA,NA
"sensitivity_linear","competition","prevalence_high_user","prevalence",NA,0.714285714285714,0.459666794293482,0.459546670328478,0.0309594340007749,0.399956194262683,0.521138927907245,NA,NA,NA
"sensitivity_linear","competition","adoption_difference","prevalence_difference",0,0.5,0.0441265050716298,0.0454436372721546,0.0647502114350904,-0.084031964724034,0.165830850111398,0.7545,0.476,0.192
